"btype", "mg","ipow","ttc","ptc","psz"
"2","6e-07","780000000","14.31","1431","2"
"2","6e-07","780000000","14.07","1407","4"
"2","6e-07","780000000","13.6108","1361","8"
"2","6e-07","780000000","12.7808","1278","16"
"2","6e-07","780000000","11.401","1140","32"
"2","6e-07","780000000","9.37","937","64"
"2","6e-07","780000000","6.90173","690","128"
"2","6e-07","780000000","4.52275","452","256"
"2","6e-07","780000000","2.6848","268","512"
"2","6e-07","780000000","1.4789","147","1024"
"2","7.000000000000001e-07","910000000","16.8407","1684","1"
"2","7.000000000000001e-07","910000000","16.6907","1669","2"
"2","7.000000000000001e-07","910000000","16.42","1642","4"
"2","7.000000000000001e-07","910000000","15.8808","1588","8"
"2","7.000000000000001e-07","910000000","14.9208","1492","16"
"2","7.000000000000001e-07","910000000","13.301","1330","32"
"2","7.000000000000001e-07","910000000","10.9312","1093","64"
"2","7.000000000000001e-07","910000000","8.06173","806","128"
"2","7.000000000000001e-07","910000000","5.28275","528","256"
"2","7.000000000000001e-07","910000000","3.1248","312","512"
"2","7.000000000000001e-07","910000000","1.7289","172","1024"
"2","8.000000000000001e-07","1040000000","19.2507","1925","1"
"2","8.000000000000001e-07","1040000000","19.0807","1908","2"
"2","8.000000000000001e-07","1040000000","18.7607","1876","4"
"2","8.000000000000001e-07","1040000000","18.1608","1816","8"
"2","8.000000000000001e-07","1040000000","17.0508","1705","16"
"2","8.000000000000001e-07","1040000000","15.201","1520","32"
"2","8.000000000000001e-07","1040000000","12.5","1250","64"
"2","8.000000000000001e-07","1040000000","9.21173","921","128"
"2","8.000000000000001e-07","1040000000","6.04275","604","256"
"2","8.000000000000001e-07","1040000000","3.5748","357","512"
"2","8.000000000000001e-07","1040000000","1.9789","197","1024"
"2","9.000000000000001e-07","1170000000","21.6607","2166","1"
"2","9.000000000000001e-07","1170000000","21.4707","2147","2"
"2","9.000000000000001e-07","1170000000","21.1107","2111","4"
"2","9.000000000000001e-07","1170000000","20.4308","2043","8"
"2","9.000000000000001e-07","1170000000","19.1908","1919","16"
"2","9.000000000000001e-07","1170000000","17.111","1711","32"
"2","9.000000000000001e-07","1170000000","14.0612","1406","64"
"2","9.000000000000001e-07","1170000000","10.3617","1036","128"
"2","9.000000000000001e-07","1170000000","6.79275","679","256"
"2","9.000000000000001e-07","1170000000","4.0248","402","512"
"2","9.000000000000001e-07","1170000000","2.2189","221","1024"
"2","1e-06","1300000000","24.07","2407","1"
"2","1e-06","1300000000","23.8607","2386","2"
"2","1e-06","1300000000","23.4607","2346","4"
"2","1e-06","1300000000","22.7008","2270","8"
"2","1e-06","1300000000","21.3208","2132","16"
"2","1e-06","1300000000","19.011","1901","32"
"2","1e-06","1300000000","15.6212","1562","64"
"2","1e-06","1300000000","11.5217","1152","128"
"2","1e-06","1300000000","7.55275","755","256"
"2","1e-06","1300000000","4.4748","447","512"
"2","1e-06","1300000000","2.4689","246","1024"
"3","1.0000000000000001e-07","340000000","6.27071","627","1"
"3","1.0000000000000001e-07","340000000","6.22072","622","2"
"3","1.0000000000000001e-07","340000000","6.12","612","4"
"3","1.0000000000000001e-07","340000000","5.92077","592","8"
"3","1.0000000000000001e-07","340000000","5.56083","556","16"
"3","1.0000000000000001e-07","340000000","4.95096","495","32"
"3","1.0000000000000001e-07","340000000","4.07122","407","64"
"3","1.0000000000000001e-07","340000000","3.00173","300","128"
"3","1.0000000000000001e-07","340000000","1.96275","196","256"
"3","1.0000000000000001e-07","340000000","1.1648","116","512"
"3","1.0000000000000001e-07","340000000","0.648897","64","1024"
"3","2.0000000000000002e-07","680000000","12.5707","1257","1"
"3","2.0000000000000002e-07","680000000","12.4707","1247","2"
"3","2.0000000000000002e-07","680000000","12.2607","1226","4"
"3","2.0000000000000002e-07","680000000","11.8608","1186","8"
"3","2.0000000000000002e-07","680000000","11.1408","1114","16"
"3","2.0000000000000002e-07","680000000","9.93096","993","32"
"3","2.0000000000000002e-07","680000000","8.16122","816","64"
"3","2.0000000000000002e-07","680000000","6.02173","602","128"
"3","2.0000000000000002e-07","680000000","3.94275","394","256"
"3","2.0000000000000002e-07","680000000","2.3348","233","512"
"3","2.0000000000000002e-07","680000000","1.2889","128","1024"
"3","3e-07","1020000000","18.88","1888","1"
"3","3e-07","1020000000","18.72","1872","2"
"3","3e-07","1020000000","18.4007","1840","4"
"3","3e-07","1020000000","17.8108","1781","8"
"3","3e-07","1020000000","16.73","1673","16"
"3","3e-07","1020000000","14.911","1491","32"
"3","3e-07","1020000000","12.2512","1225","64"
"3","3e-07","1020000000","9.03173","903","128"
"3","3e-07","1020000000","5.92275","592","256"
"3","3e-07","1020000000","3.5048","350","512"
"3","3e-07","1020000000","1.9389","193","1024"
"3","4.0000000000000003e-07","1360000000","25.1807","2518","1"
