Line Number,Attack.Type,Packet.Size,Initial.Energy.joules.,Transmission.Power.Watts.,Reception.Power.Watts.,Connection.Data.Rate.bits.sec.,Packets.Sent,Time.to.Compromise.seconds.
1346,rte,1024,2.625,0.9,1.7,60058,39,0.664957208
1347,std,1024,2.625,0.9,1.7,70058,70,1.023152245
1348,rte,1024,2.625,0.9,1.7,70058,46,0.67235719
1349,std,1024,2.625,0.9,1.7,80058,80,1.023258138
1350,rte,1024,2.625,0.9,1.7,80058,52,0.66511779
1351,std,1024,2.625,0.9,2.5,58,1,17.65517241
1352,rte,1024,2.625,0.9,2.5,58,1,17.65517241
1353,std,1024,2.625,0.9,2.5,10058,7,0.712666534
1354,rte,1024,2.625,0.9,2.5,10058,5,0.509047524
1355,std,1024,2.625,0.9,2.5,20058,14,0.714727291
1356,rte,1024,2.625,0.9,2.5,20058,10,0.510519493
1357,std,1024,2.625,0.9,2.5,30058,21,0.715416861
1358,rte,1024,2.625,0.9,2.5,30058,15,0.511012043
1359,std,1024,2.625,0.9,2.5,40058,27,0.690199211
1360,rte,1024,2.625,0.9,2.5,40058,20,0.511258675
1361,std,1024,2.625,0.9,2.5,50058,34,0.695513205
1362,rte,1024,2.625,0.9,2.5,50058,25,0.511406768
1363,std,1024,2.625,0.9,2.5,60058,41,0.699057578
1364,rte,1024,2.625,0.9,2.5,60058,30,0.511505545
1365,std,1024,2.625,0.9,2.5,70058,48,0.701590111
1366,rte,1024,2.625,0.9,2.5,70058,35,0.511576123
1367,std,1024,2.625,0.9,2.5,80058,54,0.690699243
1368,rte,1024,2.625,0.9,2.5,80058,40,0.511629069
1369,std,1024,2.625,0.9,3.3,58,1,17.65517241
1370,rte,1024,2.625,0.9,3.3,58,1,17.65517241
1371,std,1024,2.625,0.9,3.3,10058,6,0.610857029
1372,rte,1024,2.625,0.9,3.3,10058,5,0.509047524
1373,std,1024,2.625,0.9,3.3,20058,11,0.561571443
1374,rte,1024,2.625,0.9,3.3,20058,9,0.459467544
1375,std,1024,2.625,0.9,3.3,30058,16,0.545079513
1376,rte,1024,2.625,0.9,3.3,30058,13,0.442877104
1377,std,1024,2.625,0.9,3.3,40058,21,0.536821609
1378,rte,1024,2.625,0.9,3.3,40058,17,0.434569874
1379,std,1024,2.625,0.9,3.3,50058,26,0.531863039
1380,rte,1024,2.625,0.9,3.3,50058,21,0.429581685
1381,std,1024,2.625,0.9,3.3,60058,31,0.528555729
1382,rte,1024,2.625,0.9,3.3,60058,25,0.426254621
1383,std,1024,2.625,0.9,3.3,70058,36,0.526192583
1384,rte,1024,2.625,0.9,3.3,70058,29,0.423877359
1385,std,1024,2.625,0.9,3.3,80058,41,0.524419796
1386,rte,1024,2.625,0.9,3.3,80058,33,0.422093982
1387,std,1024,2.625,0.9,4.1,58,1,17.65517241
1388,rte,1024,2.625,0.9,4.1,58,1,17.65517241
1389,std,1024,2.625,0.9,4.1,10058,5,0.509047524
1390,rte,1024,2.625,0.9,4.1,10058,4,0.407238019
1391,std,1024,2.625,0.9,4.1,20058,9,0.459467544
1392,rte,1024,2.625,0.9,4.1,20058,7,0.357363645
1393,std,1024,2.625,0.9,4.1,30058,13,0.442877104
1394,rte,1024,2.625,0.9,4.1,30058,11,0.374742165
1395,std,1024,2.625,0.9,4.1,40058,17,0.434569874
1396,rte,1024,2.625,0.9,4.1,40058,14,0.357881072
1397,std,1024,2.625,0.9,4.1,50058,21,0.429581685
1398,rte,1024,2.625,0.9,4.1,50058,17,0.347756602
1399,std,1024,2.625,0.9,4.1,60058,25,0.426254621
1400,rte,1024,2.625,0.9,4.1,60058,21,0.358053881
1401,std,1024,2.625,0.9,4.1,70058,29,0.423877359
1402,rte,1024,2.625,0.9,4.1,70058,24,0.350795056
1403,std,1024,2.625,0.9,4.1,80058,33,0.422093982
1404,rte,1024,2.625,0.9,4.1,80058,27,0.345349622
1405,std,1024,2.625,0.9,4.9,58,1,17.65517241
1406,rte,1024,2.625,0.9,4.9,58,1,17.65517241
1407,std,1024,2.625,0.9,4.9,10058,4,0.407238019
1408,rte,1024,2.625,0.9,4.9,10058,3,0.305428515
1409,std,1024,2.625,0.9,4.9,20058,7,0.357363645
1410,rte,1024,2.625,0.9,4.9,20058,6,0.306311696
1411,std,1024,2.625,0.9,4.9,30058,11,0.374742165
1412,rte,1024,2.625,0.9,4.9,30058,9,0.306607226
1413,std,1024,2.625,0.9,4.9,40058,14,0.357881072
1414,rte,1024,2.625,0.9,4.9,40058,12,0.306755205
1415,std,1024,2.625,0.9,4.9,50058,18,0.368212873
1416,rte,1024,2.625,0.9,4.9,50058,15,0.306844061
1417,std,1024,2.625,0.9,4.9,60058,21,0.358053881
1418,rte,1024,2.625,0.9,4.9,60058,18,0.306903327
1419,std,1024,2.625,0.9,4.9,70058,25,0.365411516
1420,rte,1024,2.625,0.9,4.9,70058,21,0.306945674
1421,std,1024,2.625,0.9,4.9,80058,28,0.358140348
1422,rte,1024,2.625,0.9,4.9,80058,24,0.306977441
1423,std,1024,2.625,0.9,5.7,58,1,17.65517241
1424,rte,1024,2.625,0.9,5.7,58,1,17.65517241
1425,std,1024,2.625,0.9,5.7,10058,3,0.305428515
1426,rte,1024,2.625,0.9,5.7,10058,3,0.305428515
1427,std,1024,2.625,0.9,5.7,20058,6,0.306311696
1428,rte,1024,2.625,0.9,5.7,20058,6,0.306311696
1429,std,1024,2.625,0.9,5.7,30058,9,0.306607226
1430,rte,1024,2.625,0.9,5.7,30058,8,0.272539756
1431,std,1024,2.625,0.9,5.7,40058,12,0.306755205
1432,rte,1024,2.625,0.9,5.7,40058,11,0.281192271
1433,std,1024,2.625,0.9,5.7,50058,15,0.306844061
1434,rte,1024,2.625,0.9,5.7,50058,13,0.265931519
1435,std,1024,2.625,0.9,5.7,60058,18,0.306903327
1436,rte,1024,2.625,0.9,5.7,60058,16,0.272802957
1437,std,1024,2.625,0.9,5.7,70058,21,0.306945674
1438,rte,1024,2.625,0.9,5.7,70058,18,0.263096292
1439,std,1024,2.625,0.9,5.7,80058,24,0.306977441
1440,rte,1024,2.625,0.9,5.7,80058,21,0.268605261
1441,std,1024,2.625,1.7,0.1,58,1,17.65517241
1442,rte,1024,2.625,1.7,0.1,58,1,17.65517241
1443,std,1024,2.625,1.7,0.1,10058,91,9.264664943
1444,rte,1024,2.625,1.7,0.1,10058,6,0.610857029
1445,std,1024,2.625,1.7,0.1,20058,182,9.291454781
1446,rte,1024,2.625,1.7,0.1,20058,11,0.561571443
