"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"565",1024,2.625,1.7,5.7,30058,5,0.170337348
"567",1024,2.625,1.7,5.7,40058,7,0.178940536
"569",1024,2.625,1.7,5.7,50058,8,0.163650166
"571",1024,2.625,1.7,5.7,60058,10,0.170501848
"573",1024,2.625,1.7,5.7,70058,12,0.175397528
"575",1024,2.625,1.7,5.7,80058,13,0.166279447
"577",1024,2.625,2.5,0.1,58,1,17.65517241
"579",1024,2.625,2.5,0.1,10058,13,1.323523563
"581",1024,2.625,2.5,0.1,20058,25,1.276298734
"583",1024,2.625,2.5,0.1,30058,37,1.260496374
"585",1024,2.625,2.5,0.1,40058,49,1.252583754
"587",1024,2.625,2.5,0.1,50058,62,1.268288785
"589",1024,2.625,2.5,0.1,60058,74,1.261713677
"591",1024,2.625,2.5,0.1,70058,86,1.257015616
"593",1024,2.625,2.5,0.1,80058,98,1.253491219
"595",1024,2.625,2.5,0.9,58,1,17.65517241
"597",1024,2.625,2.5,0.9,10058,2,0.20361901
"599",1024,2.625,2.5,0.9,20058,3,0.153155848
"601",1024,2.625,2.5,0.9,30058,5,0.170337348
"603",1024,2.625,2.5,0.9,40058,6,0.153377602
"605",1024,2.625,2.5,0.9,50058,7,0.143193895
"607",1024,2.625,2.5,0.9,60058,9,0.153451663
"609",1024,2.625,2.5,0.9,70058,10,0.146164606
"611",1024,2.625,2.5,0.9,80058,11,0.140697994
"613",1024,2.625,2.5,1.7,58,1,17.65517241
"615",1024,2.625,2.5,1.7,10058,1,0.101809505
"617",1024,2.625,2.5,1.7,20058,2,0.102103899
"619",1024,2.625,2.5,1.7,30058,3,0.102202409
"621",1024,2.625,2.5,1.7,40058,3,0.076688801
"623",1024,2.625,2.5,1.7,50058,4,0.081825083
"625",1024,2.625,2.5,1.7,60058,5,0.085250924
"627",1024,2.625,2.5,1.7,70058,6,0.087698764
"629",1024,2.625,2.5,1.7,80058,6,0.07674436
"631",1024,2.625,2.5,2.5,58,1,17.65517241
