"","Packet.Size","Initial.Energy.joules.","Transmission.Power.Watts.","Reception.Power.Watts.","Connection.Data.Rate.bits.sec.","Packets.Sent","Time.to.Compromise.seconds."
"732",1024,5.125,0.1,0.1,50058,1229,25.14075672
"734",1024,5.125,0.1,0.1,60058,1474,25.13197243
"736",1024,5.125,0.1,0.1,70058,1719,25.12569585
"738",1024,5.125,0.1,0.1,80058,1965,25.13377801
"740",1024,5.125,0.1,0.9,58,1,17.65517241
"742",1024,5.125,0.1,0.9,10058,50,5.090475244
"744",1024,5.125,0.1,0.9,20058,99,5.054142985
"746",1024,5.125,0.1,0.9,30058,148,5.041985495
"748",1024,5.125,0.1,0.9,40058,197,5.035897948
"750",1024,5.125,0.1,0.9,50058,246,5.032242599
"752",1024,5.125,0.1,0.9,60058,295,5.029804522
"754",1024,5.125,0.1,0.9,70058,344,5.028062463
"756",1024,5.125,0.1,0.9,80058,393,5.026755602
"758",1024,5.125,0.1,1.7,58,1,17.65517241
"760",1024,5.125,0.1,1.7,10058,28,2.850666136
"762",1024,5.125,0.1,1.7,20058,55,2.807857214
"764",1024,5.125,0.1,1.7,30058,82,2.793532504
"766",1024,5.125,0.1,1.7,40058,110,2.811922712
"768",1024,5.125,0.1,1.7,50058,137,2.802509089
"770",1024,5.125,0.1,1.7,60058,164,2.796230311
"772",1024,5.125,0.1,1.7,70058,191,2.791743984
"774",1024,5.125,0.1,1.7,80058,219,2.801169152
"776",1024,5.125,0.1,2.5,58,1,17.65517241
"778",1024,5.125,0.1,2.5,10058,19,1.934380593
"780",1024,5.125,0.1,2.5,20058,38,1.939974075
"782",1024,5.125,0.1,2.5,30058,57,1.941845765
"784",1024,5.125,0.1,2.5,40058,76,1.942782965
"786",1024,5.125,0.1,2.5,50058,95,1.943345719
"788",1024,5.125,0.1,2.5,60058,114,1.94372107
"790",1024,5.125,0.1,2.5,70058,133,1.943989266
"792",1024,5.125,0.1,2.5,80058,152,1.944190462
"794",1024,5.125,0.1,3.3,58,1,17.65517241
"796",1024,5.125,0.1,3.3,10058,15,1.527142573
"798",1024,5.125,0.1,3.3,20058,29,1.480506531
"800",1024,5.125,0.1,3.3,30058,44,1.498968661
"802",1024,5.125,0.1,3.3,40058,58,1.482650157
"804",1024,5.125,0.1,3.3,50058,73,1.493307763
"806",1024,5.125,0.1,3.3,60058,87,1.483366079
"808",1024,5.125,0.1,3.3,70058,102,1.490878986
"810",1024,5.125,0.1,3.3,80058,116,1.4837243
"812",1024,5.125,0.1,4.1,58,1,17.65517241
"814",1024,5.125,0.1,4.1,10058,12,1.221714058
"816",1024,5.125,0.1,4.1,20058,24,1.225246784
"818",1024,5.125,0.1,4.1,30058,36,1.226428904
"820",1024,5.125,0.1,4.1,40058,47,1.201457886
"822",1024,5.125,0.1,4.1,50058,59,1.206919973
"824",1024,5.125,0.1,4.1,60058,71,1.210563122
"826",1024,5.125,0.1,4.1,70058,82,1.198549773
"828",1024,5.125,0.1,4.1,80058,94,1.202328312
"830",1024,5.125,0.1,4.9,58,1,17.65517241
"832",1024,5.125,0.1,4.9,10058,10,1.018095049
"834",1024,5.125,0.1,4.9,20058,20,1.021038987
"836",1024,5.125,0.1,4.9,30058,30,1.022024087
"838",1024,5.125,0.1,4.9,40058,40,1.02251735
"840",1024,5.125,0.1,4.9,50058,50,1.022813536
"842",1024,5.125,0.1,4.9,60058,59,1.005960904
"844",1024,5.125,0.1,4.9,70058,69,1.008535785
"846",1024,5.125,0.1,4.9,80058,79,1.010467411
"848",1024,5.125,0.1,5.7,58,1,17.65517241
"850",1024,5.125,0.1,5.7,10058,9,0.916285544
"852",1024,5.125,0.1,5.7,20058,17,0.867883139
"854",1024,5.125,0.1,5.7,30058,26,0.885754209
"856",1024,5.125,0.1,5.7,40058,34,0.869139747
"858",1024,5.125,0.1,5.7,50058,43,0.879619641
"860",1024,5.125,0.1,5.7,60058,51,0.869559426
"862",1024,5.125,0.1,5.7,70058,60,0.876987639
"864",1024,5.125,0.1,5.7,80058,68,0.869769417
"866",1024,5.125,0.9,0.1,58,1,17.65517241
"868",1024,5.125,0.9,0.1,10058,42,4.275999205
"870",1024,5.125,0.9,0.1,20058,83,4.237311796
"872",1024,5.125,0.9,0.1,30058,125,4.258433695
"874",1024,5.125,0.9,0.1,40058,166,4.243447002
"876",1024,5.125,0.9,0.1,50058,207,4.23444804
"878",1024,5.125,0.9,0.1,60058,248,4.228445836
"880",1024,5.125,0.9,0.1,70058,290,4.238773588
"882",1024,5.125,0.9,0.1,80058,331,4.233730545
"884",1024,5.125,0.9,0.9,58,1,17.65517241
"886",1024,5.125,0.9,0.9,10058,24,2.443428117
"888",1024,5.125,0.9,0.9,20058,46,2.34838967
"890",1024,5.125,0.9,0.9,30058,69,2.3506554
"892",1024,5.125,0.9,0.9,40058,92,2.351789905
"894",1024,5.125,0.9,0.9,50058,115,2.352471133
"896",1024,5.125,0.9,0.9,60058,138,2.352925505
"898",1024,5.125,0.9,0.9,70058,161,2.353250164
"900",1024,5.125,0.9,0.9,80058,184,2.353493717
"902",1024,5.125,0.9,1.7,58,1,17.65517241
"904",1024,5.125,0.9,1.7,10058,16,1.628952078
"906",1024,5.125,0.9,1.7,20058,32,1.633662379
"908",1024,5.125,0.9,1.7,30058,48,1.635238539
"910",1024,5.125,0.9,1.7,40058,64,1.63602776
"912",1024,5.125,0.9,1.7,50058,80,1.636501658
"914",1024,5.125,0.9,1.7,60058,96,1.636817743
"916",1024,5.125,0.9,1.7,70058,112,1.637043592
"918",1024,5.125,0.9,1.7,80058,128,1.637213021
"920",1024,5.125,0.9,2.5,58,1,17.65517241
"922",1024,5.125,0.9,2.5,10058,13,1.323523563
"924",1024,5.125,0.9,2.5,20058,25,1.276298734
"926",1024,5.125,0.9,2.5,30058,37,1.260496374
"928",1024,5.125,0.9,2.5,40058,49,1.252583754
"930",1024,5.125,0.9,2.5,50058,61,1.247832514
"932",1024,5.125,0.9,2.5,60058,73,1.244663492
"934",1024,5.125,0.9,2.5,70058,86,1.257015616
"936",1024,5.125,0.9,2.5,80058,98,1.253491219
"938",1024,5.125,0.9,3.3,58,1,17.65517241
"940",1024,5.125,0.9,3.3,10058,10,1.018095049
"942",1024,5.125,0.9,3.3,20058,20,1.021038987
"944",1024,5.125,0.9,3.3,30058,30,1.022024087
